pair_id,obstacle_vertices,robot_vertices,min_distance
397-2,48,5,213.497474
398-2,86,5,212.745150
399-1,32,7,213.497474
400-1,53,7,213.497474
401-0,64,6,213.497474
402-4,96,3,174.496508
403-3,17,8,350.293757
404-3,40,8,213.497474
405-1,85,7,212.745150
406-4,55,3,174.622824
407-3,100,8,212.745150
408-2,76,5,212.745150
409-0,79,6,212.745150
410-2,77,5,212.745150
411-4,59,3,174.622824
412-1,34,7,213.497474
413-1,71,7,212.745150
414-1,27,7,213.497474
415-0,61,6,213.497474
416-0,55,6,213.497474
417-0,42,6,213.497474
418-2,50,5,213.497474
419-4,91,3,174.496508
420-1,42,7,213.497474
421-3,82,8,212.745150
422-4,77,3,174.496508
423-2,45,5,213.497474
424-2,39,5,213.497474
425-4,72,3,174.496508
426-1,90,7,212.745150
427-0,71,6,212.745150
428-3,75,8,212.745150
429-4,28,3,174.496508
430-2,23,5,213.497474
431-2,62,5,213.497474
432-2,32,5,213.497474
433-3,31,8,213.497474
434-2,76,5,212.745150
435-0,15,6,350.293757
436-0,84,6,212.745150
437-1,46,7,213.497474
438-2,18,5,350.293757
439-3,85,8,212.745150
440-3,75,8,212.745150
441-1,28,7,213.497474
442-3,19,8,213.497474
443-0,26,6,213.497474
444-0,76,6,212.745150
445-2,29,5,213.497474
446-3,37,8,213.497474
447-3,24,8,213.497474
448-0,25,6,213.497474
449-1,59,7,213.497474
450-0,53,6,213.497474
451-2,19,5,213.497474
452-3,28,8,213.497474
453-1,100,7,212.745150
454-0,5,6,350.293757
455-2,29,5,213.497474
456-4,93,3,174.496508
457-4,87,3,174.496508
458-4,100,3,174.496508
459-0,75,6,212.745150
460-4,17,3,280.449139
461-4,99,3,174.496508
462-1,53,7,213.497474
463-4,51,3,174.622824
464-0,45,6,213.497474
465-2,19,5,213.497474
466-2,94,5,212.745150
467-3,30,8,213.497474
468-0,62,6,213.497474
469-2,11,5,350.293757
470-3,32,8,213.497474
471-1,36,7,213.497474
472-2,45,5,213.497474
473-1,74,7,212.745150
474-4,70,3,174.496508
475-1,69,7,212.745150
476-4,12,3,280.449139
477-3,73,8,212.745150
478-3,86,8,212.745150
479-0,9,6,350.293757
480-4,57,3,174.622824
481-3,52,8,213.497474
482-4,72,3,174.496508
483-1,23,7,213.497474
484-3,65,8,213.497474
485-2,97,5,212.745150
486-2,13,5,350.293757
487-3,72,8,212.745150
488-1,36,7,213.497474
489-4,40,3,174.622824
490-3,66,8,213.497474
491-2,22,5,213.497474
492-4,51,3,174.622824
493-3,63,8,213.497474
494-1,72,7,212.745150
495-1,65,7,213.497474
496-1,79,7,212.745150
497-1,41,7,213.497474
498-1,15,7,350.293757
499-3,83,8,212.745150
